,package,github repo
554,aionotify,rbarrois/aionotify
555,snapcast,happyleavesaoc/python-snapcast/
556,accepts,andrewp-as-is/accepts.py
557,django-widget-tweaks,jazzband/django-widget-tweaks
559,cloudconvert,cloudconvert/cloudconvert-python
560,flask-dropzone,greyli/flask-dropzone
561,django-pymess,druids/django-pymess
562,bx-python,bxlab/bx-python
563,lunardate,lidaobing/python-lunardate
564,tableprint,nirum/tableprint
569,shelljob,mortoray/shelljob/
570,json-merge-patch,open-contracting/json-merge-patch
573,setuptools-pep8,CraigJPerry/setuptools-pep8
574,xmpppy,xmpppy/xmpppy
576,subprocess32,google/python-subprocess32
581,python-jsonrpc,gerold-penz/python-jsonrpc
582,fysom,mriehl/fysom
583,dukedsclient,Duke-GCB/DukeDSClient
584,xxtea,ifduyue/xxtea
585,matrix-synapse-ldap3,matrix-org/matrix-synapse-ldap3
588,wechatpy,jxtech/wechatpy
589,instagramapi,LevPasha/Instagram-API-python/
590,openvr,cmbruns/pyopenvr
591,apsw,rogerbinns/apsw/
593,glad,Dav1dde/glad
594,git-fame,casperdcl/git-fame
597,onnx-tf,onnx/onnx-tensorflow/
600,pixiedust,pixiedust/pixiedust
602,django-formset-js-improved,pretix/django-formset-js
603,django-secure,carljm/django-secure/
604,librouteros,luqasz/librouteros
605,django-related-admin,PetrDlouhy/django-related-admin
606,autolens,Jammy2211/PyAutoLens
607,runestone,RunestoneInteractive/rs
608,redpipe,72squared/redpipe
610,face-recognition-models,ageitgey/face_recognition_models
611,django-currencies,panosl/django-currencies
612,coremltools,apple/coremltools
613,dxpy,dnanexus/dx-toolkit
614,aldryn-forms,aldryn/aldryn-forms
615,azure-cli-configure,Azure/azure-cli
618,frigg-worker,frigg/frigg-worker
619,coursera-dl,coursera-dl/coursera-dl
621,py-canary,snjoetw/py-canary
622,instalooter,althonos/instalooter
624,chumpy,mattloper/chumpy
625,autogui,lundbird/AutoGui
628,qrtools,primetang/qrtools
630,geohash,vinsci/geohash/
632,alas-ce0-client,pypa/alas-ce0-client
633,mygene,biothings/mygene.py
635,gkeepapi,kiwiz/gkeepapi
636,pyxlsb,willtrnr/pyxlsb
637,tornado-cors,globocom/tornado-cors
639,tatsu,neogeny/tatsu
642,pymavlink,ArduPilot/pymavlink/
646,django-polymorphic-tree,django-polymorphic/django-polymorphic-tree
649,clinner,PeRDy/clinner
652,django-basic-auth-ip-whitelist,tm-kn/django-basic-auth-ip-whitelist
653,whois,DannyCork/python-whois/
654,pdpbox,SauceCat/PDPbox
658,google-cloud-happybase,googleapis/google-cloud-python-happybase
661,zxcvbn,dwolfhub/zxcvbn-python
662,beeprint,panyanyany/beeprint
666,django-markup,bartTC/django-markup
668,graphyte,benhoyt/graphyte
670,infoblox-client,infobloxopen/infoblox-client
671,infi-recipe-application-packager,Infinidat/infi.recipe.application_packager
675,cloudshell-shell-core,QualiSystems/cloudshell-shell-core
676,plumbum,tomerfiliba/plumbum
677,dawg-python,kmike/DAWG-Python/
678,assertpy,assertpy/assertpy
679,fredpy,letsgoexploring/fredpy-package
680,products-temporaryfolder,zopefoundation/Products.TemporaryFolder
683,scikit-plot,reiinakano/scikit-plot
687,google-endpoints-api-management,cloudendpoints/endpoints-management-python
689,dlcli,dataloop/dlcli
690,django-dynamic-scraper,holgerd77/django-dynamic-scraper/
694,vk,voronind/vk
695,django-cte,dimagi/django-cte
698,hearthstone,HearthSim/python-hearthstone/
699,nflgame,BurntSushi/nflgame
702,basecrm,basecrm/basecrm-python
703,radis,radis/radis
704,pytest-aiohttp,aio-libs/pytest-aiohttp
705,stockstats,jealous/stockstats
709,access-points,kootenpv/access_points
711,cpe,nilp0inter/cpe
712,pyverilog,PyHDI/Pyverilog
713,toad,amphibian-dev/toad
716,pyroute2,svinota/pyroute2
717,cornice,mozilla-services/cornice
718,django-nocaptcha-recaptcha,ImaginaryLandscape/django-nocaptcha-recaptcha
719,django-dbbackup,jazzband/django-dbbackup
723,translate,terryyin/google-translate-python
727,azure-cli-monitor,Azure/azure-cli
729,tlds,kichik/tlds
730,pyobjc-framework-security,ronaldoussoren/pyobjc
731,social-auth-app-django,python-social-auth/social-app-django
732,djangocodemirror,sveetch/djangocodemirror
733,python-hosts,jonhadfield/python-hosts
734,ciscosparkapi,CiscoDevNet/ciscosparkapi
735,socketio-client,invisibleroads/socketIO-client
736,exitstatus,johnthagen/exitstatus
737,ssh,bitprophet/ssh/
738,pybedtools,daler/pybedtools
739,tbump,dmerejkowsky/tbump
743,typed-ast,python/typed_ast
745,openfisca-core,openfisca/openfisca-core
746,octokitpy,khornberg/octokit.py
749,pytest-metadata,pytest-dev/pytest-metadata
750,properly-util-python,GoProperly/properly-util-python
752,jytools,meisanggou/Tools
754,hiku,vmagamedov/hiku
755,snappy-manifolds,3-manifolds/snappy_manifolds
759,tg-react,thorgate/tg-react
760,pycrypt,Noctem/pycrypt
762,phonenumbers,daviddrysdale/python-phonenumbers
763,buildlib,feluxe/buildlib
764,xstatic-roboto-fontface,choffmeister/roboto-fontface-bower
766,trie,ethereum/py-trie
767,impala,roman-neuhauser/py-impala
768,clc-sdk,CenturyLinkCloud/clc-python-sdk
769,pynrrd,mhe/pynrrd
770,qtpy,spyder-ide/qtpy
771,bitmath,tbielawa/bitmath
772,microcosm-flask,globality-corp/microcosm-flask
775,autowire,hardtack/autowire
776,workflow,inveniosoftware/workflow
778,py-geth,ethereum/py-geth
779,elasticsearch,elastic/elasticsearch-py
780,lzstring,gkovacs/lz-string-python
781,python-taint,python-security/pyt
782,livereload,lepture/python-livereload
783,pytest-flask,pytest-dev/pytest-flask
786,inspire-schemas,inspirehep/inspire-schemas
788,pylatex,JelteF/PyLaTeX
789,invenio-records,inveniosoftware/invenio-records
790,business-rules,venmo/business-rules
791,caserecommender,caserec/CaseRecommender
794,python-mbedtls,Synss/python-mbedtls
797,upnpclient,flyte/upnpclient
799,ctypesgen,ctypesgen/ctypesgen
801,sanpy,santiment/sanpy
803,lorem,sfischer13/python-lorem
804,django-organizations,bennylope/django-organizations/
805,boom,tarekziade/boom
808,causalinference,laurencium/causalinference
809,django-inbound-email,yunojuno/django-inbound-email
810,optimus,sveetch/Optimus
812,pycrunch,Crunch-io/pycrunch
813,taggit-selectize,chhantyal/taggit-selectize
814,monotonic,atdt/monotonic
815,django-axes,jazzband/django-axes
817,wagtailgeowidget,frojd/wagtail-geo-widget
820,django-pandas,chrisdev/django-pandas/
821,pyexifinfo,guinslym/pyexifinfo
822,pdfplumber,jsvine/pdfplumber
825,qt5reactor,twisted/qt5reactor
827,keras-applications,keras-team/keras-applications
828,mailjet-rest,mailjet/mailjet-apiv3-python
829,ssh2-python,ParallelSSH/ssh2-python
830,alembic-verify,Overseas-Student-Living/alembic-verify
831,azure-cli-dls,Azure/azure-cli
832,zipcode,buckmaxwell/zipcode
834,sqlalchemy-clickhouse,cloudflare/sqlalchemy-clickhouse
836,aiocontextvars,fantix/aiocontextvars
837,rocket-python,Pipoline/rocket-python
840,pyexecjs,doloopwhile/PyExecJS
841,certbot-dns-sakuracloud,certbot/certbot
843,pysparkling,svenkreiss/pysparkling
844,richdem,r-barnes/richdem
845,ffmpy,Ch00k/ffmpy
847,pytest-mccabe,The-Compiler/pytest-mccabe
848,google-assistant-sdk,googlesamples/assistant-sdk-python
849,ipwhois,secynic/ipwhois
851,pyobjc-framework-discrecording,ronaldoussoren/pyobjc
852,bbopt,evhub/bbopt
854,django-modelsdoc,tell-k/django-modelsdoc
860,indy-plenum,hyperledger/indy-plenum
861,cpuid-native,fpelliccioni/cpuid-py-native
863,flask-themes2,sysr-q/flask-themes2
864,tkfilebrowser,j4321/tkFileBrowser
866,algoliasearch,algolia/algoliasearch-client-python
867,quart,pallets/quart/
870,requests-aws-sign,jmenga/requests-aws-sign
871,pylibsrtp,aiortc/pylibsrtp
872,jupyterhub-tmpauthenticator,jupyterhub/tmpauthenticator
873,naked,chrissimpkins/naked
875,iexfinance,addisonlynch/iexfinance
876,pizzapi,aluttik/pizzapi
877,tg-utils,thorgate/tg-utils
878,kamonohashi-sdk,KAMONOHASHI/kamonohashi
880,pyhiveapi,Pyhive/pyhiveapi
881,rarfile,markokr/rarfile
882,catcher,comtihon/catcher
883,django-pyfs,edx/django-pyfs
884,tensorflow-tensorboard,tensorflow/tensorboard
885,azure-cli-cloud,Azure/azure-cli
886,pyxdameraulevenshtein,lanl/pyxDamerauLevenshtein
888,pyinstrument-cext,joerick/pyinstrument_cext
890,shortid,corpix/shortid
891,pyshark,KimiNewt/pyshark
892,pyecore,pyecore/pyecore
893,onnx,onnx/onnx
894,azure-mgmt-sql,Azure/azure-sdk-for-python
900,pymodbustcp,sourceperl/pyModbusTCP
901,bfh,percolate/bfh
902,lambdajson,pooya-eghbali/lambdaJSON
904,pretenders,pretenders/pretenders
905,django-mobile,gregmuellegger/django-mobile
907,gapic-google-cloud-spanner-admin-instance-v1,googleapis/googleapis
911,erlang-py,okeuday/erlang_py
913,awesome-mixins,MrLucasCardoso/awesome_mixins
914,wiktionaryparser,Suyash458/WiktionaryParser
915,4scanner,Lacsap-/4scanner
917,sagemaker-pyspark,aws/sagemaker-spark
918,annogesic,Sung-Huan/ANNOgesic
919,mo-logs,klahnakoski/mo-logs
920,django-analytical,jazzband/django-analytical
921,edc-metadata,clinicedc/edc-metadata
922,tkintertable,dmnfarrell/tkintertable
923,touch,andrewp-as-is/touch.py
924,audiosegment,MaxStrange/AudioSegment
925,mezmorize,reubano/mezmorize
927,onespacemedia-cms,onespacemedia/cms
928,pywin32-ctypes,enthought/pywin32-ctypes
929,python-anticaptcha,ad-m/python-anticaptcha
930,cbpro,danpaquin/coinbasepro-python
932,googleappenginepipeline,GoogleCloudPlatform/appengine-pipelines
933,mxnet,apache/incubator-mxnet
934,selectolax,rushter/selectolax
935,highton,seibert-media/Highton
937,azure-mgmt-storage,Azure/azure-sdk-for-python
938,cyhunspell,MSeal/cython_hunspell
941,pystatsd,sivy/py-statsd
942,py-buzz,dusktreader/py-buzz
943,pyoffers,Stranger6667/pyoffers
944,pymchelper,DataMedSci/pymchelper
945,xunitmerge,miki725/xunitmerge
946,hammertime-http,delvelabs/hammertime
947,grpc-google-iam-v1,googleapis/python-grpc-google-iam-v1
949,neuropythy,noahbenson/neuropythy
950,sentimental-skk,saitoha/sentimental-skk
951,slack-logger,junhwi/python-slack-logger
952,serveit,rtlee9/serveit
953,aioxmpp,horazont/aioxmpp
955,pillow-pil,yinpeng/pillow-pil
956,cqlengine,cqlengine/cqlengine
957,piexif,hMatoba/Piexif
959,dwho,decryptus/dwho
961,plette,sarugaku/plette
963,dxfgrabber,mozman/dxfgrabber.git
964,fluent,projectfluent/python-fluent
966,catt,skorokithakis/catt
967,sqlitedict,piskvorky/sqlitedict
968,flask-uploads,maxcountryman/flask-uploads
969,netifaces,al45tair/netifaces
970,astpretty,asottile/astpretty
973,jep,ninia/jep
976,hisparc-sapphire,hisparc/sapphire/
977,http-ece,martinthomson/encrypted-content-encoding
979,python-pytun,montag451/pytun
981,cdrouter,qacafe/cdrouter.py
982,autoprotocol,autoprotocol/autoprotocol-python
984,pydictionary,geekpradd/PyDictionary
985,pronto,althonos/pronto
986,pyiso,WattTime/pyiso
988,adapt-parser,MycroftAI/adapt
997,cmappy,cmap/cmapPy
998,conditional,stefanholek/conditional
1002,plone-event,plone/plone.event
1003,django-app-settings,pawamoy/django-appsettings
1005,facebook-wda,openatx/facebook-wda
1007,pybind11,pybind/pybind11
1009,flask-unchained,briancappello/flask-unchained
1014,hashin,peterbe/hashin
1015,losant-rest,Losant/losant-rest-python
1018,sphinxcontrib-apidoc,sphinx-contrib/apidoc
1022,rfc5424-logging-handler,jobec/rfc5424-logging-handler
1023,texttable,foutaise/texttable/
1027,pymata,MrYsLab/PyMata
1030,chanjo-report,robinandeer/chanjo-report
1031,abeona,winni2k/abeona
1033,django-seo-js,skoczen/django-seo-js
1036,gmqtt,wialon/gmqtt
1038,mapbox-vector-tile,tilezen/mapbox-vector-tile
1042,m3u8,globocom/m3u8
1044,pyobjc-framework-libdispatch,ronaldoussoren/pyobjc
1047,gffutils,daler/gffutils
1050,spur,mwilliamson/spur.py
1052,anyconfig,ssato/python-anyconfig
1053,huepy,s0md3v/huepy
1054,aioworkers,aioworkers/aioworkers
1055,deezer-python,browniebroke/deezer-python
1056,google-api-python-client,googleapis/google-api-python-client/
1057,molo-surveys,praekelt/molo.surveys
1058,pylsl,labstreaminglayer/liblsl-Python
1060,pyastronomy,sczesla/PyAstronomy
1061,backtrader,mementum/backtrader
1063,authedwig,cloudchacho/hedwig-python
1064,uw-restclients-django-utils,uw-it-aca/uw-restclients-django-utils
1065,fmriprep-docker,nipreps/fmriprep
1066,ansi2html,pycontribs/ansi2html
1067,wsgiprox,webrecorder/wsgiprox
1068,next-action,fniessink/next-action
1071,git-lfs,liberapay/git-lfs-fetch.py
1073,dynamodb-json,Alonreznik/dynamodb-json
1075,siphon,Unidata/siphon
1076,python-slugify,un33k/python-slugify
1077,arq,samuelcolvin/arq
1078,eventregistry,EventRegistry/event-registry-python
