,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,pr_review_comment_action,pr_review_comment_id,pr_review_comment_commit_id,pr_review_comment_site_admin,pr_review_comment_body,pr_review_comment_author_association,pr_number,pr_review_comment_reactions
2734,PullRequestReviewCommentEvent,2016-09-09 14:43:20+00:00,25031755,ionelmc/pytest-benchmark,129501,ionelmc,,,created,,6759433bd1d55f3ac97e66072e9b338732ab2e02,False,"Sounds good, but we should strip the „Benchmark” prefix, no sense to have it everywhere (obvious the stuff is going to be about benchmarks right?).",,59,{}
2912,PullRequestReviewCommentEvent,2015-03-31 17:43:17+00:00,4175838,kennethreitz/flask-sslify,618339,tofias,,,created,,9740d4a7c17c284833202a7d2618e9e7d57ef4b3,False,BUT THANKS!,,28,{}
2919,PullRequestReviewCommentEvent,2017-01-23 14:01:01+00:00,9370804,llazzaro/django-scheduler,568181,llazzaro,,,created,17927019,e433eed47ac34a5d5f3a1f814ccb9cc7119555f1,False,Please delete this empty test class,,280,{}
2956,PullRequestReviewCommentEvent,2015-12-30 23:51:38+00:00,4479494,serge-sans-paille/pythran,863807,serge-sans-paille,,,created,,60ab4628f4ea345a6bfbdd30de7d5342192839d5,False,"On Wed, Dec 30, 2015 at 12:35:31PM -0800, pbrunet wrote:
> >          using iterator = enumerate_iterator<typename Iterable::iterator>;
> > -        // we need to keep one ref over the enumerated sequence alive
> > -        Iterable seq;
> > +        using iterator::operator*;
> 
> Why do you need this operator?

It's implicitly inherited from Iterable *and* enumerate_iterator. This
is the disambiguation.


We inherit from Iterable to store the original sequence and from
enumerate_iterator to be compatible with next(...)
",,517,{}
2968,PullRequestReviewCommentEvent,2016-04-04 19:02:53+00:00,4479494,serge-sans-paille/pythran,863807,serge-sans-paille,,,created,,cc560d9d9a7785c9e0b56d2b1ca1dd5a4b110bbd,False,"yes ^^!
",,556,{}
2969,PullRequestReviewCommentEvent,2016-02-14 10:43:57+00:00,4479494,serge-sans-paille/pythran,863807,serge-sans-paille,,,created,,732f4bc7dad6cee1c81a416cc734244a6d3b9f27,False,"On Sun, Feb 14, 2016 at 01:38:30AM -0800, pbrunet wrote:
> >  
> >  namespace pythonic
> >  {
> >  
> >    namespace numpy
> >    {
> > +    namespace details
> > +    {
> > +      template <class T>
> > +      struct is_integral_valued {
> > +        // what a trick :-) use sum to get the dtype even when T is a scalar
> > +        // type
> 
> Ok, I get it. It is funny, but not really easy to understand IMHO.
> Something like : 
> 
> ```
> using type = typename std::conditional<is_numexp<T>, T::dtype, T>::type;
> static constexpr bool value = std::is_integral<type>::value;
> ```
> 
> Make it easier to me to understand this part.
This does not work, as both part of std::conditional must be valid and
int::dtype is not :-)

the right way to this would be to create a meta function dtype_of
specialized for scalar types, I'll go this way.
",,524,{}
3043,PullRequestReviewCommentEvent,2017-02-13 20:02:56+00:00,3652822,mattupstate/flask-security,189798,jirikuncar,,,created,21600821,725b665dbc08d7a49b9315668356a9af26b4c5f5,False,"```python
class UserModel(Base, UserMixin):
```",,594,{}
3115,PullRequestReviewCommentEvent,2015-04-02 23:02:06+00:00,5816230,michiya/django-pyodbc-azure,37809,tarkatronic,,,created,,2d31e83f72c54813301de860c7d144752aab7b78,False,"Oops, you are correct. I'll have that fixed in a moment. Thanks!",,25,{}
3128,PullRequestReviewCommentEvent,2016-03-12 15:06:01+00:00,48197358,travispavek/testrail-python,11619428,levi-rs,,,created,,e6756a5a6067826e2c8fef27719abdfe997da2eb,False,Will do.,,25,{}
3145,PullRequestReviewCommentEvent,2015-07-27 18:25:17+00:00,35378438,asottile/pip-custom-platform,665269,chriskuehl,,,created,,90d66a881117247e3553b74257c99698392cbf66,False,"The Docker tests are ridiculously slow (~1 hour), take a bunch of disk space, and are flaky by nature. So let's not run them by default (we have mocks as well as the Docker integration tests).",,2,{}
3184,PullRequestReviewCommentEvent,2016-01-07 15:10:36+00:00,14314043,typemytype/booleanOperations,6939968,anthrotype,,,created,,f00098fe97abb20e783c3382ce9ab42004eec80d,False,"Yes, the robofab pen ignores single points, or anchors, whereas fonttools one takes them into account. I guess we could make this optional by adding an `ignoreSinglePoints` argument to the constructor of `fontTools.pen.boundsPen.ControlBoundsPen` so that it behaves like robofab's. WDYT?",,20,{}
3216,PullRequestReviewCommentEvent,2018-01-02 22:54:58+00:00,4830226,reinout/z3c.dependencychecker,1155680,gforcada,,,created,86265840,6557ec71f508d78908a3004c758889254371c6ad,False,"Does it make sense to keep this license with the complete rewrite that I did? There are no longer any parts left that are coming from the old code. I would be happier to change the license to (L)GPLv3 or similar, but I'm not a lawyer, so I have no clue on these things 😅 ",COLLABORATOR,67,{}
3270,PullRequestReviewCommentEvent,2015-06-06 19:25:42+00:00,14612476,twolfson/restructuredtext-lint,902488,twolfson,,,created,,eb3dfbaf7fa1ad3fb1a64a2a42dbb8b923e185f4,False,"Also, can we use the kwarg flavor for `.format`? I find that the index based version is brittle:

```python
stream.write('File ""{filepath}"" is clean.\n'.format(filepath=filepath))
```",,19,{}
3363,PullRequestReviewCommentEvent,2015-02-08 16:10:56+00:00,16006840,miki725/django-rest-framework-bulk,932940,miki725,,,created,,52efdad4fb83cf9172f873d459c9b9748e6f249e,False,@tomchristie maybe you can advise?,,29,{}
3414,PullRequestReviewCommentEvent,2017-02-02 19:57:32+00:00,30511977,martinthomson/encrypted-content-encoding,35755,jrconlin,,,created,19863194,7b9cd9a0fc7f616bb84c0319c4828cd6c8ee1e7d,False,"Are we dropping `keymap` in favor of passing the key directly? (I'm a fan of doing so, but we should be clear across the board about it.) ",,31,{}
3420,PullRequestReviewCommentEvent,2016-01-21 17:54:57+00:00,18703934,Ian-Foote/rest-framework-generic-relations,1843202,Ian-Foote,,,created,,4fb33b36f0e0292dcf58925c31dceaeb2fc0500c,False,"This can be 2.7, 3.4 and 3.5",,15,{}
3467,PullRequestReviewCommentEvent,2018-05-12 14:07:36+00:00,48501841,django/daphne,987055,karolyi,27804,django,created,119627327,9806d2128080b8882803bba2846e7d143bc1b559,False,"`self._arg_proxy_host` is not a string, but a parameter that's used for formatting the error messages. If you look at what return value `add_argument` returns, you'll see.",NONE,199,{}
3478,PullRequestReviewCommentEvent,2017-06-09 14:52:13+00:00,5898459,camptocamp/tilecloud-chain,353872,sbrunner,28109,camptocamp,created,43176292,21e1b0ae39fc4b5764e5489653afe64f09084b52,False,We should add a try catch block around this block to make the Travis tests pass...,,290,{}
3489,PullRequestReviewCommentEvent,2016-03-18 21:52:59+00:00,41557383,cloudant/python-cloudant,8793303,alfinkel,44642,cloudant,created,,509e9da65b329e639c37e9a060d74ddc06c222ef,False,Done in 509e9da65b329e639c37e9a060d74ddc06c222ef,,119,{}
3491,PullRequestReviewCommentEvent,2016-05-11 17:31:29+00:00,41557383,cloudant/python-cloudant,8793303,alfinkel,44642,cloudant,created,,cefd64747f5ea45ef9782f6776f3977edce817ca,False,Change `Cloudant database` to a link to CloudantDatabase use 2 lines above DesignDocument as a reference.,,168,{}
3495,PullRequestReviewCommentEvent,2017-10-10 18:56:35+00:00,34864402,apache/incubator-mxnet,568948,piiswrong,47359,apache,created,68390337,e48c2c3c265213cca6e489600dd92adbd441387b,False,This should use relative include,CONTRIBUTOR,7903,{}
3502,PullRequestReviewCommentEvent,2018-08-17 23:57:34+00:00,34864402,apache/incubator-mxnet,2778341,anirudhacharya,47359,apache,created,147409716,f26d5236a2f7dc4c46904916ca8537f692b068c7,False,"I am quoting the following from the existing tutorial - 

""Please also note that we highly recommend adding check_numeric_gradient test for every operator with backward function implemented as it eliminates the possibility of passing incorrect expected results into check_symbolic_backward.""

But feel free to recommend how you would want this part to be paraphrased.",CONTRIBUTOR,12230,{}
3505,PullRequestReviewCommentEvent,2018-08-10 15:31:18+00:00,34864402,apache/incubator-mxnet,2577440,tqchen,47359,apache,created,145291220,58c5d87543458fca9c98f0efa6b196d4412885ed,False,You need to be careful to use shape from the same NDArray in your NDArrayDLManager,MEMBER,12047,{}
3513,PullRequestReviewCommentEvent,2018-01-25 21:57:55+00:00,34864402,apache/incubator-mxnet,3700467,Laurawly,47359,apache,created,91686039,7e05e0dd8d0f0fa9890ff2d5cc58f84d8070a45e,False,"Oh, I see what you mean. Yeah, that's right. I'll correct it accordingly.",NONE,8915,{}
