,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
5001,DeleteEvent,2016-01-29 16:47:51+00:00,35341934,svenkreiss/pysparkling,2775078,svenkreiss,,,branch,parallelize-partitions,user
5040,DeleteEvent,2016-09-01 13:51:36+00:00,37814649,HexDecimal/libtcod-cffi,324809,HexDecimal,,,tag,v1.3.1,user
5063,DeleteEvent,2017-03-12 16:31:56+00:00,69878276,Stranger6667/postmarker,1236561,Stranger6667,,,branch,inbound-triggers,user
5082,DeleteEvent,2018-05-26 16:02:06+00:00,30379674,adamchainz/django-mysql,857609,adamchainz,,,branch,fix_removed_warnings,user
5087,DeleteEvent,2018-05-04 18:47:45+00:00,94463832,adamchainz/ec2-metadata,857609,adamchainz,,,branch,upgrade_requirements,user
5176,DeleteEvent,2016-12-17 19:20:47+00:00,36964309,jantman/awslimitchecker,273454,jantman,,,branch,issues/231,user
5257,DeleteEvent,2018-04-25 23:41:20+00:00,12830126,mozillazg/python-pinyin,485054,mozillazg,,,branch,v0.2.0,user
5347,DeleteEvent,2017-02-08 03:58:06+00:00,73903959,urda/django-letsencrypt,1648492,urda,,,branch,release/1.0.8,user
5401,DeleteEvent,2016-09-24 15:34:37+00:00,39631752,adamchainz/nose-randomly,857609,adamchainz,,,branch,upgrade_requirements,user
5515,DeleteEvent,2015-09-21 03:46:58+00:00,1072814,jdunck/python-unicodecsv,10229,jdunck,,,branch,issue39,user
5531,DeleteEvent,2015-08-12 13:48:34+00:00,16474183,matllubos/django-is-core,424409,matllubos,,,branch,dev-readonly-form,user
5555,DeleteEvent,2015-09-07 12:56:52+00:00,3049190,moul/advanced-ssh-config,94029,moul,,,branch,travis-improvements,user
5621,DeleteEvent,2018-03-02 11:28:12+00:00,92439132,vovanbo/aiohttp_json_api,877240,vovanbo,,,branch,pyup-update-aiohttp-2.3.6-to-3.0.5,user
6077,DeleteEvent,2016-07-27 04:04:56+00:00,35990433,kata198/AdvancedHTMLParser,8461115,kata198,,,tag,6.2.1,user
6273,DeleteEvent,2015-05-18 10:04:18+00:00,22785341,Changaco/python-libarchive-c,1581590,Changaco,,,branch,travis-tweaks,user
6299,DeleteEvent,2017-05-13 21:04:22+00:00,85780522,fgmacedo/python-statemachine,281007,fgmacedo,,,branch,pyup-update-pytest-cov-2.4.0-to-2.5.1,user
6332,DeleteEvent,2017-08-31 20:27:48+00:00,19168375,macropin/django-registration,542728,dicato,,,branch,update-changelog,user
6342,DeleteEvent,2017-04-06 15:20:04+00:00,19168375,macropin/django-registration,1144020,joshblum,,,branch,fix-setup,user
6350,DeleteEvent,2018-08-10 13:20:15+00:00,115766314,peterdemin/pip-compile-multi,27856297,dependabot[bot],,,branch,dependabot/pip/tox-3.2.0,user
6373,DeleteEvent,2017-10-18 21:53:34+00:00,78106937,strizhechenko/netutils-linux,3813830,strizhechenko,,,branch,server_info_lsblk_bug,user
6377,DeleteEvent,2017-06-07 18:05:39+00:00,78106937,strizhechenko/netutils-linux,3813830,strizhechenko,,,branch,irqtop-diff-total-fix,user
6441,DeleteEvent,2018-01-17 08:25:59+00:00,4830226,reinout/z3c.dependencychecker,1155680,gforcada,,,branch,gforcada-properties,user
6483,DeleteEvent,2017-03-28 03:21:21+00:00,67903325,MSeifert04/iteration_utilities,14200878,MSeifert04,,,branch,repr_for_functools,user
6484,DeleteEvent,2018-07-19 19:45:33+00:00,67903325,MSeifert04/iteration_utilities,14200878,MSeifert04,,,branch,stashed-stuff,user
6486,DeleteEvent,2018-03-02 10:36:12+00:00,30147887,Pawamoy/django-zxcvbn-password,3999221,Pawamoy,,,branch,pyup-scheduled-update-09-04-2017,user
6553,DeleteEvent,2015-12-14 00:51:12+00:00,39119843,miguelgrinberg/python-socketio,2715854,miguelgrinberg,,,branch,multiple-workers,user
6584,DeleteEvent,2017-03-05 06:16:27+00:00,49422756,chrisjbillington/inotify_simple,1044087,chrisjbillington,,,tag,1.1.0,user
6599,DeleteEvent,2018-07-25 15:34:02+00:00,26947860,facelessuser/pymdown-extensions,27856297,dependabot[bot],,,branch,dependabot/npm_and_yarn/autoprefixer-9.0.1,user
6601,DeleteEvent,2017-06-02 02:06:56+00:00,26947860,facelessuser/pymdown-extensions,1055125,facelessuser,,,branch,Prep-release-3.4.0,user
6630,DeleteEvent,2015-10-28 19:07:10+00:00,2133577,stefankoegl/python-json-pointer,184196,stefankoegl,,,branch,v0.10,user
6738,DeleteEvent,2017-08-10 00:16:30+00:00,87554622,jarshwah/flake8_formatter_abspath,541083,jarshwah,,,branch,pyup-update-pytest-3.1.3-to-3.2.0,user
6777,DeleteEvent,2015-02-24 21:21:04+00:00,17446714,schmijos/html-table-parser-python3,245443,schmijos,,,tag,v0.1.1,user
6915,DeleteEvent,2015-04-28 17:09:07+00:00,31572652,yahoo/redislite,254983,dwighthubbard,16574,yahoo,branch,doc_fixes2,user
6923,DeleteEvent,2018-02-26 18:09:21+00:00,79584587,yahoo/TensorFlowOnSpark,3676078,leewyang,16574,yahoo,branch,leewyang_pipeline_notebook,user
6990,DeleteEvent,2017-07-24 07:58:34+00:00,2954583,camptocamp/tilecloud,353872,sbrunner,28109,camptocamp,branch,codeacy,user
6998,DeleteEvent,2018-03-22 08:38:12+00:00,80519091,camptocamp/c2cwsgiutils,1180608,pvalsecc,28109,camptocamp,branch,doc_level,user
7027,DeleteEvent,2016-08-03 15:33:57+00:00,41557383,cloudant/python-cloudant,10698320,ricellis,44642,cloudant,branch,194-changes-example,user
7251,DeleteEvent,2017-01-04 15:48:11+00:00,33884891,apache/incubator-airflow,1341245,asfgit,47359,apache,branch,list_dags_report,user
7330,DeleteEvent,2016-09-27 14:22:37+00:00,20313056,Yelp/bravado,852075,sjaensch,49071,Yelp,tag,v8.4.0,user
7360,DeleteEvent,2018-07-12 23:11:03+00:00,113111650,Yelp/detect-secrets,3076393,KevinHock,49071,Yelp,branch,fix_audit_crash_on_missing_file,user
7376,DeleteEvent,2016-12-12 21:50:37+00:00,843712,ccnmtl/django-pagetree,7821,thraxil,52456,ccnmtl,branch,nikolas-patch-10,user
7381,DeleteEvent,2015-07-20 19:58:20+00:00,15088276,theonion/django-bulbs,484777,kand,61816,theonion,branch,clickventure,user
7385,DeleteEvent,2016-06-07 16:16:15+00:00,15088276,theonion/django-bulbs,666056,MichaelButkovic,61816,theonion,branch,ia-vault-key,user
7492,DeleteEvent,2018-05-22 10:34:49+00:00,6982635,plone/mockup,157140,jensens,72034,plone,branch,frapell-tinymce-scales,user
7531,DeleteEvent,2015-08-24 18:40:24+00:00,2419252,plone/plone.app.intid,524413,vangheem,72034,plone,branch,linkintegrity,user
7611,DeleteEvent,2018-01-30 12:22:50+00:00,64285290,melexis/sphinx-traceability-extension,17571703,SteinHeselmans,128522,melexis,branch,2d-matrix,user
7727,DeleteEvent,2017-05-16 11:35:43+00:00,8463294,mozilla/treeherder,501702,edmorley,131524,mozilla,branch,pyup-update-taskcluster-1.3.1-to-1.3.2,user
7733,DeleteEvent,2016-11-11 09:51:57+00:00,8463294,mozilla/treeherder,501702,edmorley,131524,mozilla,branch,1311185-part2,user
7738,DeleteEvent,2017-12-04 22:09:43+00:00,8463294,mozilla/treeherder,501702,edmorley,131524,mozilla,branch,rm-eta-backend,user
7739,DeleteEvent,2015-11-12 22:44:09+00:00,8463294,mozilla/treeherder,419924,camd,131524,mozilla,branch,select-on-load,user
7762,DeleteEvent,2018-07-27 00:53:54+00:00,8463294,mozilla/treeherder,501702,edmorley,131524,mozilla,branch,pyup-update-graphene-django-2.0.0-to-2.1.0,user
7769,DeleteEvent,2018-06-27 09:04:33+00:00,8463294,mozilla/treeherder,501702,edmorley,131524,mozilla,branch,pyup-update-django-cors-headers-2.2.0-to-2.2.1,user
7803,DeleteEvent,2018-04-18 22:33:54+00:00,8463294,mozilla/treeherder,501702,edmorley,131524,mozilla,branch,renovate/react-table-6.x,user
7806,DeleteEvent,2017-08-14 17:02:34+00:00,8463294,mozilla/treeherder,501702,edmorley,131524,mozilla,branch,linux-qr-talos,user
7864,DeleteEvent,2015-10-31 16:18:20+00:00,3877327,guardian/alerta,615057,satterly,164318,guardian,tag,v1.1.9,user
7964,DeleteEvent,2015-03-03 15:25:02+00:00,5888353,spotify/luigi,1027979,erikbern,251374,spotify,branch,erikbern/localtarget,user
8014,DeleteEvent,2017-05-24 20:19:33+00:00,5888353,spotify/luigi,84229,ulzha,251374,spotify,branch,ulzha/http_and_credentials,user
8085,DeleteEvent,2016-11-03 17:38:29+00:00,648332,assimp/assimp,2323156,kimkulling,265533,assimp,branch,blender-26-poly,user
8107,DeleteEvent,2015-04-02 12:31:17+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,is_running,user
8110,DeleteEvent,2015-12-01 10:51:05+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,classical_risk_test,user
8124,DeleteEvent,2015-09-23 09:28:40+00:00,744916,gem/oq-engine,1818657,daniviga,316546,gem,branch,fix-postgres-dep-bis,user
8125,DeleteEvent,2017-12-05 12:47:08+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,tiles,user
8140,DeleteEvent,2017-03-06 14:44:26+00:00,744916,gem/oq-engine,1818657,daniviga,316546,gem,branch,helpers,user
8147,DeleteEvent,2018-02-08 08:53:09+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,pmap_from,user
8154,DeleteEvent,2016-10-07 08:03:13+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,rtol,user
8163,DeleteEvent,2015-10-01 11:19:32+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,fix-load-curve,user
8166,DeleteEvent,2018-04-10 12:16:30+00:00,744916,gem/oq-engine,2463856,micheles,316546,gem,branch,fake2scenario,user
8186,DeleteEvent,2016-06-24 10:39:54+00:00,30607404,openstack/networking-hyperv,903479,openstack-gerrit,324574,openstack,branch,stable/kilo,user
8323,DeleteEvent,2017-06-02 20:27:14+00:00,35301403,okta/okta-sdk-python,20212241,jmelberg-okta,362460,okta,branch,jm-OKTA-113446-add-relative-imports,user
8331,DeleteEvent,2017-09-28 19:50:17+00:00,2222138,collective/icalendar,170891,thet,362867,collective,branch,fix/218,user
8337,DeleteEvent,2017-08-08 13:04:29+00:00,5527229,collective/eea.jquery,2368628,eea-jenkins,362867,collective,tag,jenkins-eea.jquery-sync-593,user
8345,DeleteEvent,2016-10-02 21:35:19+00:00,5639801,collective/plone.app.locales,1155680,gforcada,362867,collective,branch,gforcada-patch-2,user
8363,DeleteEvent,2017-01-25 12:41:36+00:00,61572326,DataDog/dd-trace-py,1560405,palazzem,365230,DataDog,branch,nicolas/invalid-parent,user
8366,DeleteEvent,2018-03-28 23:54:34+00:00,61572326,DataDog/dd-trace-py,36894588,willgittoes-dd,365230,DataDog,branch,willgittoes-dd/gunicorn-gevent-bug,user
8375,DeleteEvent,2017-10-14 17:03:29+00:00,9056887,tumblr/pytumblr,6033,jasonpenny,366151,tumblr,branch,ceyko/fix-avatar-302s,user
8463,DeleteEvent,2018-07-26 20:55:47+00:00,112776537,scoutapp/scout_apm_python,102774,dlanderson,458509,scoutapp,branch,locking-socket,user
8581,DeleteEvent,2015-12-07 18:08:47+00:00,38906603,uber/tchannel-python,41730,abhinav,538264,uber,branch,rd,user
8582,DeleteEvent,2015-07-11 02:29:32+00:00,38906603,uber/tchannel-python,41730,abhinav,538264,uber,tag,node-v2.0.0,user
8592,DeleteEvent,2015-07-20 23:29:03+00:00,38906603,uber/tchannel-python,848843,blampe,538264,uber,branch,print_arg,user
8599,DeleteEvent,2016-03-07 05:44:57+00:00,38906603,uber/tchannel-python,41730,abhinav,538264,uber,branch,tornado,user
8606,DeleteEvent,2017-07-19 13:15:56+00:00,11686678,enthought/okonomiyaki,403930,itziakos,539651,enthought,branch,maint-change-changelog-0.17.1,user
8630,DeleteEvent,2017-01-08 17:08:30+00:00,13127264,makinacorpus/django-mapentity,1081106,gutard,546696,makinacorpus,branch,django_17,user
8633,DeleteEvent,2018-05-09 15:58:22+00:00,13127264,makinacorpus/django-mapentity,1081106,gutard,546696,makinacorpus,branch,fix_logs,user
8733,DeleteEvent,2016-01-26 09:47:05+00:00,20493628,G-Node/nixpy,2076136,stoewer,574778,G-Node,branch,gh-pages,user
8760,DeleteEvent,2016-11-02 12:29:55+00:00,39404445,mapbox/mapbox-sdk-py,1151287,perrygeo,600935,mapbox,branch,normalize-collection,user
8829,DeleteEvent,2015-09-09 17:32:49+00:00,9926439,guzzle/guzzle_sphinx_theme,190930,mtdowling,638632,guzzle,tag,0.7.11,user
9032,DeleteEvent,2018-08-28 22:29:12+00:00,82863327,airbnb/omniduct,616139,danfrankj,698437,airbnb,branch,df_none_cursor,user
9098,DeleteEvent,2017-06-19 14:17:00+00:00,1624565,scrapy/w3lib,107893,kmike,733635,scrapy,branch,test-cleanup,user
9146,DeleteEvent,2016-01-08 20:37:18+00:00,4978045,Parsely/pykafka,723615,emmett9001,779641,Parsely,branch,bugfix/offset_manager_None,user
9168,DeleteEvent,2018-08-06 16:42:49+00:00,4978045,Parsely/pykafka,723615,emmett9001,779641,Parsely,branch,dependabot/pip/pytest-3.7.1,user
9349,DeleteEvent,2016-03-05 17:23:13+00:00,2014929,scikit-image/scikit-image,263366,emmanuelle,897180,scikit-image,tag,v0.12.0,user
9385,DeleteEvent,2017-11-13 11:15:06+00:00,21269387,fastmonkeys/stellar,671419,quantus,946529,fastmonkeys,branch,hotfix/fix-postgres10-failure,user
9480,DeleteEvent,2015-09-01 17:25:50+00:00,9252533,numenta/nupic,15566,rhyolight,1039191,numenta,branch,core-update-295daad0c33f639f5e9bfe5d0187943b319a2939,user
9520,DeleteEvent,2015-04-10 10:23:39+00:00,30921526,mozilla-services/cliquet,546692,leplatrem,1066228,mozilla-services,branch,199-heka-json-lists,user
9523,DeleteEvent,2016-02-29 16:50:34+00:00,30921526,mozilla-services/cliquet,546692,leplatrem,1066228,mozilla-services,branch,prepare-3.0,user
