,type,created_at,repo_id,repo_name,actor_id,actor_login,org_id,org_login,event_type,event_ref,event_pusher_type
8046,DeleteEvent,2016-10-21 12:48:39+00:00,48698708,aiven/aiven-client,136977,Ormod,14290521,aiven,branch,valtha_pgbouncer,user
8302,DeleteEvent,2018-07-11 17:30:24+00:00,55101236,googleapis/artman,4015807,alexander-fenster,16785467,googleapis,branch,version-flag,user
8399,DeleteEvent,2018-03-21 16:32:25+00:00,65545148,bigchaindb/bigchaindb-driver,4203558,codegeschrei,17097586,bigchaindb,branch,bug/60/adjust-to-tx-model,user
8553,DeleteEvent,2018-01-11 19:18:12+00:00,26516210,certbot/certbot,6504915,bmw,17889013,certbot,branch,apache-http,user
8575,DeleteEvent,2017-04-26 16:25:00+00:00,64120851,zalando-incubator/bubuku,344648,rcillo,18533786,zalando-incubator,branch,aruha-655-zappr,user
8661,DeleteEvent,2016-08-12 18:36:36+00:00,58676252,web-push-libs/pywebpush,35755,jrconlin,19820480,web-push-libs,branch,bug/8,user
8790,DeleteEvent,2018-08-20 19:33:00+00:00,72477752,pulumi/pulumi,30351955,pulumi-bot,21992475,pulumi,branch,lukehoban/1187,user
8925,DeleteEvent,2017-01-20 14:08:09+00:00,7308334,ParallelSSH/parallel-ssh,1391208,pkittenis,22918200,ParallelSSH,branch,updates,user
8960,DeleteEvent,2017-11-13 14:48:22+00:00,104654937,polyaxon/polyaxon-schemas,1261626,mouradmourafiq,24544827,polyaxon,branch,pyup-scheduled-update-11-06-2017,user
9023,DeleteEvent,2018-07-09 20:57:47+00:00,71482397,Parsl/parsl,181489,yadudoc,26490185,Parsl,branch,implicit_staging_#169,user
9106,DeleteEvent,2018-05-02 21:11:55+00:00,102692863,onnx/onnx,1388690,anderspapitto,31675368,onnx,branch,matmul,user
9139,DeleteEvent,2018-06-02 10:32:24+00:00,60626727,tensorlayer/tensorlayer,10923599,DEKHTIARJonathan,32261543,tensorlayer,tag,0.1.0rc0,user
9144,DeleteEvent,2018-03-12 13:58:00+00:00,60626727,tensorlayer/tensorlayer,20820195,wagamamaz,32261543,tensorlayer,branch,release-1.8.0,user
9174,DeleteEvent,2018-05-12 18:06:42+00:00,80671678,RLBot/RLBot,575644,tarehart,36465262,RLBot,branch,full-boost-fix,user
